mode,count,answerable_count,multi_hop_count,null_count,permission_count,permission_allowed_count,permission_denied_count,table_structured_count,filter_preflight_pass_rate,mrr_at_10,ndcg_at_10,forbidden_top1_rate,empty_result_rate,top1_mojibake_rate,latency_p50_ms,latency_p95_ms,recall_at_1,term_hit_rate_at_1,success_at_1,multi_hop_group_coverage_at_1,multi_hop_all_groups_at_1,null_rejection_at_1,permission_safe_at_1,permission_leak_at_1,permission_allowed_recall_at_1,protected_hit_count_at_1,sensitive_term_leak_at_1,all_required_documents_at_1,table_structured_success_at_1,recall_at_3,term_hit_rate_at_3,success_at_3,multi_hop_group_coverage_at_3,multi_hop_all_groups_at_3,null_rejection_at_3,permission_safe_at_3,permission_leak_at_3,permission_allowed_recall_at_3,protected_hit_count_at_3,sensitive_term_leak_at_3,all_required_documents_at_3,table_structured_success_at_3,recall_at_5,term_hit_rate_at_5,success_at_5,multi_hop_group_coverage_at_5,multi_hop_all_groups_at_5,null_rejection_at_5,permission_safe_at_5,permission_leak_at_5,permission_allowed_recall_at_5,protected_hit_count_at_5,sensitive_term_leak_at_5,all_required_documents_at_5,table_structured_success_at_5,recall_at_10,term_hit_rate_at_10,success_at_10,multi_hop_group_coverage_at_10,multi_hop_all_groups_at_10,null_rejection_at_10,permission_safe_at_10,permission_leak_at_10,permission_allowed_recall_at_10,protected_hit_count_at_10,sensitive_term_leak_at_10,all_required_documents_at_10,table_structured_success_at_10
filter_drop_all_domain,110,80,0,30,0,0,0,0,1.0,0.7312103174603175,0.7917328329273192,0.1,0.0,0.0,37.807,43.148,0.575,0.59375,0.41818181818181815,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.8909090909090909,0.0,0.85,0.875,0.6181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9454545454545454,0.0,0.9375,0.9375,0.6818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9636363636363636,0.0,0.975,0.975,0.7090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.990909090909091,0.0
filter_drop_document_type,110,80,0,30,0,0,0,0,1.0,0.9135416666666667,0.9358862980919929,0.0,0.0,0.0,9.689,18.404,0.8375,0.84375,0.8818181818181818,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.9545454545454546,0.0,0.9875,0.99375,0.990909090909091,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0
filter_drop_lifecycle_status,110,80,0,30,0,0,0,0,1.0,0.8895833333333333,0.9179063769875535,0.0625,0.0,0.0,13.045,35.241,0.8,0.80625,0.8545454545454545,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.9363636363636364,0.0,0.975,0.9875,0.9818181818181818,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0
filter_drop_project_name,110,80,0,30,0,0,0,0,1.0,0.8000148809523809,0.8500243202645994,0.0,0.0,0.0,10.637,36.572,0.6625,0.675,0.7545454545454545,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.9727272727272728,0.0,0.9,0.9291666666666667,0.9272727272727272,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.9818181818181818,0.0,0.975,0.975,0.9818181818181818,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.990909090909091,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0
filter_drop_source,110,80,0,30,0,0,0,0,1.0,0.90625,0.9304063769875535,0.0,0.0,0.0,3.468,10.959,0.825,0.83125,0.8727272727272727,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.9545454545454546,0.0,0.975,0.9875,0.9818181818181818,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0
filter_drop_year,110,80,0,30,0,0,0,0,1.0,0.9,0.9257929989071967,0.0,0.0,0.0,13.158,34.834,0.8125,0.81875,0.5909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9454545454545454,0.0,0.975,0.9875,0.7090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0
filter_full,110,80,0,30,0,0,0,0,1.0,0.90625,0.9304063769875535,0.0,0.0,0.0,5.139,18.371,0.825,0.83125,0.8727272727272727,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.9545454545454546,0.0,0.975,0.9875,0.9818181818181818,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0
