"mode","count","answerable_count","multi_hop_count","null_count","permission_count","permission_allowed_count","permission_denied_count","table_structured_count","filter_preflight_pass_rate","mrr_at_10","ndcg_at_10","forbidden_top1_rate","empty_result_rate","top1_mojibake_rate","latency_p50_ms","latency_p95_ms","recall_at_1","term_hit_rate_at_1","success_at_1","multi_hop_group_coverage_at_1","multi_hop_all_groups_at_1","null_rejection_at_1","permission_safe_at_1","permission_leak_at_1","permission_allowed_recall_at_1","protected_hit_count_at_1","sensitive_term_leak_at_1","all_required_documents_at_1","table_structured_success_at_1","recall_at_3","term_hit_rate_at_3","success_at_3","multi_hop_group_coverage_at_3","multi_hop_all_groups_at_3","null_rejection_at_3","permission_safe_at_3","permission_leak_at_3","permission_allowed_recall_at_3","protected_hit_count_at_3","sensitive_term_leak_at_3","all_required_documents_at_3","table_structured_success_at_3","recall_at_5","term_hit_rate_at_5","success_at_5","multi_hop_group_coverage_at_5","multi_hop_all_groups_at_5","null_rejection_at_5","permission_safe_at_5","permission_leak_at_5","permission_allowed_recall_at_5","protected_hit_count_at_5","sensitive_term_leak_at_5","all_required_documents_at_5","table_structured_success_at_5","recall_at_10","term_hit_rate_at_10","success_at_10","multi_hop_group_coverage_at_10","multi_hop_all_groups_at_10","null_rejection_at_10","permission_safe_at_10","permission_leak_at_10","permission_allowed_recall_at_10","protected_hit_count_at_10","sensitive_term_leak_at_10","all_required_documents_at_10","table_structured_success_at_10"
"ctx_a_chunk_only","300","255","40","30","30","15","15","30","1.0","0.5056349206349207","0.5609040359390952","0.00784313725490196","0.0","0.0","30.77","37.336","0.3843137254901961","0.39509803921568626","0.44","0.1125","0.0","1.0","1.0","0.0","0.06666666666666667","0.0","0.0","0.7733333333333333","0.23333333333333334","0.592156862745098","0.5862745098039216","0.5866666666666667","0.2708333333333333","0.05","1.0","1.0","0.0","0.13333333333333333","0.0","0.0","0.9033333333333333","0.36666666666666664","0.6470588235294118","0.6441176470588236","0.6266666666666667","0.37083333333333335","0.125","1.0","1.0","0.0","0.2","0.0","0.0","0.9466666666666667","0.43333333333333335","0.7333333333333333","0.7454248366013072","0.71","0.5458333333333333","0.3","1.0","1.0","0.0","0.26666666666666666","0.0","0.0","0.9966666666666667","0.5333333333333333"
"ctx_b_deterministic_header","300","255","40","30","30","15","15","30","1.0","0.8183115468409586","0.8633863143934117","0.0","0.0","0.0","32.408","41.736","0.7019607843137254","0.6820261437908497","0.6633333333333333","0.2875","0.0","1.0","1.0","0.0","0.3333333333333333","0.0","0.0","0.8166666666666667","0.7333333333333333","0.9098039215686274","0.8908496732026143","0.8266666666666667","0.5208333333333334","0.175","1.0","1.0","0.0","0.8","0.0","0.0","0.9133333333333333","0.9","0.9647058823529412","0.9473856209150326","0.9066666666666666","0.7333333333333333","0.5","1.0","1.0","0.0","0.9333333333333333","0.0","0.0","0.9733333333333334","1.0","1.0","0.9856209150326798","0.9633333333333334","0.8708333333333333","0.725","1.0","1.0","0.0","1.0","0.0","0.0","0.9966666666666667","1.0"
