mode,chunk_count,gold_annotated_count,avg_embedding_tokens,p95_embedding_tokens,avg_search_tokens,p95_search_tokens,title_coverage,document_type_coverage,section_title_coverage,section_path_coverage,content_kind_coverage,table_header_coverage,figure_caption_coverage,keyword_aliases_coverage,contextual_summary_coverage,contextual_search_terms_coverage,domain_coverage,clause_type_coverage,policy_field_coverage,fee_type_coverage,deadline_type_coverage,year_coverage,faculty_coverage,department_coverage,source_coverage,source_kind_coverage,document_version_coverage,effective_status_coverage,lifecycle_status_coverage,published_at_coverage,as_of_date_coverage,data_period_coverage,project_name_coverage,project_code_coverage,project_status_coverage,region_coverage,market_type_coverage,reliability_grade_coverage,source_code_coverage
ctx_a_chunk_only,277,106,239.213,596,239.213,596,1.0,1.0,1.0,1.0,1.0,0.144404,0.0,1.0,0.574007,0.382671,1.0,0.375451,0.021661,0.0,0.0,0.451264,0.0,0.0,0.451264,1.0,0.451264,0.451264,0.451264,0.0,0.451264,0.451264,0.090253,0.068592,0.072202,0.086643,0.01444,0.01444,0.021661
ctx_b_deterministic_header,277,106,249.863,602,245.35,599,1.0,1.0,1.0,1.0,1.0,0.144404,0.0,1.0,0.574007,0.382671,1.0,0.375451,0.021661,0.0,0.0,0.451264,0.0,0.0,0.451264,1.0,0.451264,0.451264,0.451264,0.0,0.451264,0.451264,0.090253,0.068592,0.072202,0.086643,0.01444,0.01444,0.021661
ctx_c_raw_context_dense_only,277,106,258.061,603,245.35,599,1.0,1.0,1.0,1.0,1.0,0.144404,0.0,1.0,0.574007,0.382671,1.0,0.375451,0.021661,0.0,0.0,0.451264,0.0,0.0,0.451264,1.0,0.451264,0.451264,0.451264,0.0,0.451264,0.451264,0.090253,0.068592,0.072202,0.086643,0.01444,0.01444,0.021661
ctx_c_raw_context_sparse_only,277,106,249.863,602,253.227,600,1.0,1.0,1.0,1.0,1.0,0.144404,0.0,1.0,0.574007,0.382671,1.0,0.375451,0.021661,0.0,0.0,0.451264,0.0,0.0,0.451264,1.0,0.451264,0.451264,0.451264,0.0,0.451264,0.451264,0.090253,0.068592,0.072202,0.086643,0.01444,0.01444,0.021661
ctx_c_raw_context,277,106,258.061,603,253.227,600,1.0,1.0,1.0,1.0,1.0,0.144404,0.0,1.0,0.574007,0.382671,1.0,0.375451,0.021661,0.0,0.0,0.451264,0.0,0.0,0.451264,1.0,0.451264,0.451264,0.451264,0.0,0.451264,0.451264,0.090253,0.068592,0.072202,0.086643,0.01444,0.01444,0.021661
ctx_d_effective_context,277,106,261.892,615,256.805,611,1.0,1.0,1.0,1.0,1.0,0.144404,0.0,1.0,0.574007,0.382671,1.0,0.375451,0.021661,0.0,0.0,0.451264,0.0,0.0,0.451264,1.0,0.451264,0.451264,0.451264,0.0,0.451264,0.451264,0.090253,0.068592,0.072202,0.086643,0.01444,0.01444,0.021661
ctx_e_shuffled_context,277,106,258.061,620,253.227,616,1.0,1.0,1.0,1.0,1.0,0.144404,0.0,1.0,0.574007,0.382671,1.0,0.375451,0.021661,0.0,0.0,0.451264,0.0,0.0,0.451264,1.0,0.451264,0.451264,0.451264,0.0,0.451264,0.451264,0.090253,0.068592,0.072202,0.086643,0.01444,0.01444,0.021661
